# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
UIUC,Urbana, IL,gpsmet,40.099998474121094,-88.22000122070312,264.3999938964844,-9999.0,null,null,null,true
HCOT1,HAMBLEN CO. HQ,RAWS,36.25693893432617,-83.27694702148438,354.5,-9999.0,null,null,null,true
KFWH1,KII,RAWS,21.688060760498047,-157.9522247314453,1.5,-9999.0,null,null,null,true
DBCM8,DRY BLOOD CREEK,RAWS,47.244171142578125,-108.35749816894531,914.4000244140625,-9999.0,null,null,null,true
BBN,BOUNTIFUL BENCH                  UT US KSL,utmesnet,40.88999938964844,-111.8499984741211,1521.0,-9999.0,null,null,null,true
MEGT2,MCGREGOR,RAWS,31.38389015197754,-97.41278076171875,193.89999389648438,-9999.0,null,null,null,true
AR307,W6KL Burbank                      CA US,APRSWXNET,34.16999816894531,-118.33300018310547,172.1999969482422,-9999.0,null,null,null,true
GUIN7,GUION FARM,RAWS,35.213050842285156,-82.58999633789062,792.5,-9999.0,null,null,null,true
AR300,KB8GQ Galloway                    OH US,APRSWXNET,39.91749954223633,-83.15167236328125,249.0,-9999.0,null,null,null,true
AR301,N5KUK Norman                      OK US,APRSWXNET,35.220829010009766,-97.41416931152344,371.0,-9999.0,null,null,null,true
AR304,AA6HF-5 Cathedral City            CA US,APRSWXNET,33.8489990234375,-116.48082733154297,134.0,-9999.0,null,null,null,true
AR302,N4NW Stafford County              VA US,APRSWXNET,38.46083068847656,-77.46282958984375,101.5,-9999.0,null,null,null,true
AR303,DL1BLU Schortens                     DE,APRSWXNET,53.54716873168945,7.954999923706055,5.0,-9999.0,null,null,null,true
DYER,DYER - WALLACE FARMS             NV US DRI,utmesnet,37.60609817504883,-117.98860931396484,1488.300048828125,-9999.0,null,null,null,true
ELKC2,ELK RIVER                        CO US SNOTEL,utmesnet,40.849998474121094,-106.97000122070312,2652.10009765625,-9999.0,null,null,null,true
STP1,Alma, WI,ddmet,44.29999923706055,-91.9000015258789,384.1000061035156,-9999.0,null,null,null,true
BCP,BLACK CROOK PEAK                 UT US TOOELE,utmesnet,39.99004364013672,-112.54368591308594,2827.0,-9999.0,null,null,null,true
ALSA2,PORT ALSWORTH,RAWS,60.195560455322266,-154.31971740722656,97.80000305175781,-9999.0,null,null,null,true
DMTMT,Lothair                          MT US MCSCN,utmesnet,48.46556091308594,-111.22611236572266,1002.7999877929688,-9999.0,null,null,null,true
QHIA3,HOPI,RAWS,35.862220764160156,-110.6147232055664,1707.5,-9999.0,null,null,null,true
AR330,KC1EO Hollis                      NH US,APRSWXNET,42.783329010009766,-71.5961685180664,97.5,-9999.0,null,null,null,true
SORI1,SOMSEN RANCH                     ID US SNOTEL,utmesnet,42.95000076293945,-111.37000274658203,2072.89990234375,-9999.0,null,null,null,true
CWFO3,CROW FLAT,RAWS,43.83306121826172,-118.94999694824219,1563.5999755859375,-9999.0,null,null,null,true
AR328,N1EO Center Harbor                NH US,APRSWXNET,43.69832992553711,-71.4854965209961,252.39999389648438,-9999.0,null,null,null,true
CLFO3,CALIMUS,RAWS,42.63138961791992,-121.5594482421875,2020.5,-9999.0,null,null,null,true
AR329,KA1RVR Epping                     NH US,APRSWXNET,43.061668395996094,-71.06199645996094,54.599998474121094,-9999.0,null,null,null,true
MNRN2,MOUNT ROSE SKI                   NV US CNRFC,utmesnet,39.32917022705078,-119.88722229003906,2535.89990234375,-9999.0,null,null,null,true
AWSC1,WASCO 5SW                        CA US,utmesnet,35.54389953613281,-119.4092025756836,83.80000305175781,-9999.0,null,null,null,true
AR323,KF6YUA Sebastopol                 CA US,APRSWXNET,38.379329681396484,-122.8221664428711,70.0999984741211,-9999.0,null,null,null,true
AR320,K6TZ Diablo Peak                  CA US,APRSWXNET,34.029170989990234,-119.78433227539062,762.0,-9999.0,null,null,null,true
AR321,K6DJR W.Menlo Park                CA US,APRSWXNET,37.434669494628906,-122.20632934570312,35.099998474121094,-9999.0,null,null,null,true
AR327,AA1EO Weirs Beach                 NH US,APRSWXNET,43.60683059692383,-71.4469985961914,162.0,-9999.0,null,null,null,true
SDRI4,River Woods _ Des Moines               KCCI-TV,snet,41.55788040161133,-93.57745361328125,304.79998779296875,-9999.0,null,null,null,true
CHKF1,CHEKIKA,RAWS,25.625,-80.57943725585938,1.5,-9999.0,null,null,null,true
OPLC1,OPAL MOUNTAIN,RAWS,35.154170989990234,-117.17555236816406,987.5999755859375,-9999.0,null,null,null,true
ORRI1,ORCHARD RANGE SITE               ID US SNOTEL,utmesnet,43.33000183105469,-116.0,960.0999755859375,-9999.0,null,null,null,true
AR319,VK7HDM-5 Hobart                  TAS AU,APRSWXNET,-42.74782943725586,147.2671661376953,41.0,-9999.0,null,null,null,true
MSB1,Bobo, MS,ddmet,34.11000061035156,-90.69000244140625,50.66999816894531,-9999.0,null,null,null,true
AR317,KV4EE Fort Wayne                  IN US,APRSWXNET,41.15950012207031,-85.13217163085938,243.8000030517578,-9999.0,null,null,null,true
WTHS1,WITHERBEE,RAWS,33.15943908691406,-79.83055877685547,18.0,-9999.0,null,null,null,true
LSFC1,LSF LAS FLORES,RAWS,33.28889083862305,-117.43888854980469,30.5,-9999.0,null,null,null,true
AR312,WA6BAY-1 Soquel                   CA US,APRSWXNET,37.00217056274414,-121.93633270263672,137.5,-9999.0,null,null,null,true
AR310,K4ROK-10 Farmville                NC US,APRSWXNET,35.55282974243164,-77.60166931152344,23.799999237060547,-9999.0,null,null,null,true
AR316,N7OKG Deer Park                   WA US,APRSWXNET,48.085330963134766,-117.43183135986328,790.0,-9999.0,null,null,null,true
AR313,WB6AHC-1 San Jose                 CA US,APRSWXNET,37.21833038330078,-121.85166931152344,81.4000015258789,-9999.0,null,null,null,true
SSMM8,SOUTH SAWMILL CREEK,RAWS,47.561668395996094,-107.5283432006836,1002.7999877929688,-9999.0,null,null,null,true
BTTM5,BAUDETTE,RAWS,48.67028045654297,-94.616943359375,339.20001220703125,-9999.0,null,null,null,true
HTV1,Hartsville, TN,ddmet,36.36000061035156,-86.08999633789062,196.88999938964844,-9999.0,null,null,null,true
NP107,Brandywine Shl,nosports,38.98699951171875,-75.11299896240234,0.0,-9999.0,null,null,null,true
ACHC1,CHOWCHILLA                       CA US,utmesnet,37.157501220703125,-120.25,74.69999694824219,-9999.0,null,null,null,true
NP109,Piney Point,nosports,38.132999420166016,-76.53299713134766,0.0,-9999.0,null,null,null,true
BALV1,BALL MTN LAKE,HADS,43.13330078125,-72.0999984741211,499.3680114746094,-9999.0,null,null,null,true
TFRAN,Franklin Falls                   WA US WA DOT,utmesnet,47.43000030517578,-121.43000030517578,829.0999755859375,-9999.0,null,null,null,true
LWRT2,SANTA ANA NWR,RAWS,26.07832908630371,-98.15693664550781,27.399999618530273,-9999.0,null,null,null,true
WRSM8,WISE RIVER,RAWS,45.783050537109375,-112.93305206298828,1738.5999755859375,-9999.0,null,null,null,true
SDRC1,SOLDIER MTN,RAWS,40.925559997558594,-121.58556365966797,1130.800048828125,-9999.0,null,null,null,true
CAFO3,CABIN LAKE,RAWS,43.5,-121.04972076416016,1385.300048828125,-9999.0,null,null,null,true
GSTO3,GERBER RESERVOIR                 OR US SNOTEL,utmesnet,42.20000076293945,-121.12999725341797,1478.0,-9999.0,null,null,null,true
