# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
C7959,CW7959 Stornoway                     UK,APRSWXNET,58.248958587646484,-6.176310062408447,30.0,-9999.0,null,null,null,true
AT970,KF2XN Grand Island                NY US,APRSWXNET,43.036170959472656,-78.94803619384766,177.0,-9999.0,null,null,null,true
UP890,GLENVI                           MN US UPR,utmesnet,43.5606803894043,-93.2725601196289,375.79998779296875,-9999.0,null,null,null,true
UP897,BARYGN                           MO US UPR,utmesnet,38.94208908081055,-94.56706237792969,246.89999389648438,-9999.0,null,null,null,true
UP895,ALGOA1                           MO US UPR,utmesnet,38.549251556396484,-92.08123779296875,175.89999389648438,-9999.0,null,null,null,true
C7956,CW7956 Sheffield Lake             OH US,APRSWXNET,41.4900016784668,-82.08734893798828,183.0,-9999.0,null,null,null,true
MCAN3,MASCOMA RIVER AT MASCOMA         NH US       NHDES,HADS,43.64860916137695,-72.18193817138672,230.10000610351562,-9999.0,null,null,null,true
C6623,CW6623 Los Altos Hills            CA US,APRSWXNET,37.36949920654297,-122.16583251953125,19.0,-9999.0,null,null,null,true
E0933,EW0933 Texarkana                  TX US,APRSWXNET,33.337581634521484,-94.0489730834961,87.0,-9999.0,null,null,null,true
BRNK2,GREEN RIVER AT BROWNSVILLE       KY US  USARMY-COE,HADS2,37.206939697265625,-86.2611083984375,170.6999969482422,-9999.0,null,null,null,true
LWAO2,LITTLE WASHITA #1                OK US SCAN,utmesnet,34.95000076293945,-97.9800033569336,358.1000061035156,-9999.0,null,null,null,true
BBN,BOUNTIFUL BENCH                  UT US KSL,utmesnet,40.89088821411133,-111.85057830810547,1508.800048828125,-9999.0,null,null,null,true
C7955,CW7955 Aberdeen                   NC US,APRSWXNET,35.127830505371094,-79.39949798583984,158.8000030517578,-9999.0,null,null,null,true
BPHEB,Mount Hebo                       OR US BPANET,utmesnet,45.21342849731445,-123.75499725341797,966.2000122070312,-9999.0,null,null,null,true
MEGT2,MCGREGOR                         TX US,RAWS,31.383899688720703,-97.41280364990234,193.89999389648438,-9999.0,null,null,null,true
M45AX,M45A Crown Point                 IN US USARRAY,utmesnet,41.388099670410156,-87.25039672851562,215.8000030517578,-9999.0,null,null,null,true
E0938,EW0938 Waynesville                OH US,APRSWXNET,39.55916976928711,-84.1155014038086,295.0,-9999.0,null,null,null,true
D9937,DW9937 Eastsound                  WA US,APRSWXNET,48.631378173828125,-122.94847106933594,51.0,-9999.0,null,null,null,true
